date,category,value,position
07/11/2023,Refugees in Iran,9,10
08/11/2023,Refugees in Iran,13,10
09/11/2023,Refugees in Iran,5,10
10/11/2023,Refugees in Iran,10,10
11/11/2023,Refugees in Iran,4,10
12/11/2023,Refugees in Iran,5,10
13/11/2023,Refugees in Iran,6,10
14/11/2023,Refugees in Iran,3,10
15/11/2023,Refugees in Iran,3,10
16/11/2023,Refugees in Iran,0,10
17/11/2023,Refugees in Iran,0,10
18/11/2023,Refugees in Iran,0,10
19/11/2023,Refugees in Iran,5,10
20/11/2023,Refugees in Iran,6,10
21/11/2023,Refugees in Iran,1,10
22/11/2023,Refugees in Iran,1,10
23/11/2023,Refugees in Iran,4,10
24/11/2023,Refugees in Iran,0,10
25/11/2023,Refugees in Iran,2,10
26/11/2023,Refugees in Iran,3,10
27/11/2023,Refugees in Iran,5,10
28/11/2023,Refugees in Iran,4,10
29/11/2023,Refugees in Iran,2,10
30/11/2023,Refugees in Iran,5,10
01/12/2023,Refugees in Iran,1,10
02/12/2023,Refugees in Iran,1,10
03/12/2023,Refugees in Iran,3,10
04/12/2023,Refugees in Iran,11,10
05/12/2023,Refugees in Iran,5,10
06/12/2023,Refugees in Iran,3,10
07/12/2023,Refugees in Iran,5,10
08/12/2023,Refugees in Iran,2,10
09/12/2023,Refugees in Iran,1,10
10/12/2023,Refugees in Iran,4,10
11/12/2023,Refugees in Iran,1,10
12/12/2023,Refugees in Iran,3,10
13/12/2023,Refugees in Iran,8,10
14/12/2023,Refugees in Iran,8,10
15/12/2023,Refugees in Iran,11,10
16/12/2023,Refugees in Iran,2,10
17/12/2023,Refugees in Iran,5,10
18/12/2023,Refugees in Iran,1,10
19/12/2023,Refugees in Iran,2,10
20/12/2023,Refugees in Iran,4,10
21/12/2023,Refugees in Iran,0,10
22/12/2023,Refugees in Iran,0,10
23/12/2023,Refugees in Iran,5,10
24/12/2023,Refugees in Iran,4,10
25/12/2023,Refugees in Iran,6,10
26/12/2023,Refugees in Iran,20,10
27/12/2023,Refugees in Iran,3,10
02/10/2023,Taliban,0,-5
03/10/2023,Taliban,0,-5
04/10/2023,Taliban,10,-5
05/10/2023,Taliban,16,-5
